SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
40,12,0,0,0,0,0,A,Florida,Florida,18801310,18804564,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737
162,12,0,375,0,0,0,A,Alachua city,Florida,9059,9041,9053,9143,9258,9332,9506,9685,9860,9962,9910,9899
162,12,0,625,0,0,0,A,Alford town,Florida,489,482,482,479,471,472,469,469,467,469,467,463
162,12,0,950,0,0,0,A,Altamonte Springs city,Florida,41496,41569,41568,41695,41865,42030,42100,43030,43463,44191,44220,44143
162,12,0,1000,0,0,0,A,Altha town,Florida,536,512,512,515,511,507,501,504,502,505,509,492
162,12,0,1475,0,0,0,A,Anna Maria city,Florida,1503,1503,1503,1520,1540,1576,1602,1640,1690,1725,1747,1762
162,12,0,1625,0,0,0,A,Apalachicola city,Florida,2231,2230,2225,2222,2241,2228,2228,2250,2290,2291,2326,2354
162,12,0,1700,0,0,0,A,Apopka city,Florida,41542,42194,42407,43765,45103,46238,47796,49109,50486,52277,53557,53447
162,12,0,1750,0,0,0,A,Arcadia city,Florida,7637,7627,7645,7624,7649,7613,7706,7786,7918,8121,8186,8314
162,12,0,1775,0,0,0,A,Archer city,Florida,1118,1111,1111,1120,1131,1134,1146,1159,1180,1197,1204,1198
162,12,0,2250,0,0,0,A,Astatula town,Florida,1810,1809,1814,1829,1849,1871,1896,1943,1990,2011,2058,2085
162,12,0,2400,0,0,0,A,Atlantic Beach city,Florida,12655,12671,12671,12750,12877,12894,13008,13144,13428,13620,13805,13872
162,12,0,2500,0,0,0,A,Atlantis city,Florida,2005,1995,1997,2011,2031,2048,2066,2087,2109,2121,2124,2129
162,12,0,2550,0,0,0,A,Auburndale city,Florida,13507,13455,13477,13646,13819,14064,14344,14809,15308,15905,16247,16650
162,12,0,2681,0,0,0,A,Aventura city,Florida,35762,35742,35872,36330,36729,37023,37059,37198,37466,37640,37324,36987
162,12,0,2750,0,0,0,A,Avon Park city,Florida,8836,10050,10033,10012,9980,9957,9999,10142,10317,10483,10576,10689
162,12,0,3250,0,0,0,A,Baldwin town,Florida,1425,1440,1440,1446,1454,1452,1459,1470,1483,1481,1491,1489
162,12,0,3275,0,0,0,A,Bal Harbour village,Florida,2513,2693,2702,2734,2762,2782,2785,3017,3023,3021,2993,2961
162,12,0,3675,0,0,0,A,Bartow city,Florida,17298,17172,17180,17324,17475,17679,18116,18598,19117,19472,19870,20147
162,12,0,3725,0,0,0,A,Bascom town,Florida,121,120,120,119,117,117,116,116,116,116,115,115
162,12,0,3975,0,0,0,A,Bay Harbor Islands town,Florida,5628,5533,5551,5614,5685,5721,5827,5840,5905,5921,5860,5793
162,12,0,4150,0,0,0,A,Bay Lake city,Florida,47,47,47,48,49,49,50,50,51,51,54,53
162,12,0,4975,0,0,0,A,Bell town,Florida,456,453,455,455,451,451,453,464,472,478,490,498
162,12,0,5075,0,0,0,A,Belleair town,Florida,3869,3947,3945,3954,3965,3986,4003,4036,4071,4158,4208,4260
162,12,0,5100,0,0,0,A,Belleair Beach city,Florida,1560,1543,1542,1545,1549,1559,1565,1580,1594,1602,1606,1603
162,12,0,5125,0,0,0,A,Belleair Bluffs city,Florida,2031,2119,2118,2119,2126,2137,2144,2163,2181,2192,2194,2187
162,12,0,5150,0,0,0,A,Belleair Shore town,Florida,109,109,109,109,110,110,111,112,113,114,114,114
162,12,0,5200,0,0,0,A,Belle Glade city,Florida,17467,18206,18236,18380,18571,18725,18877,19087,19288,19662,20063,20134
162,12,0,5300,0,0,0,A,Belle Isle city,Florida,5988,5992,6005,6115,6277,6405,6535,6692,6872,7035,7171,7240
162,12,0,5375,0,0,0,A,Belleview city,Florida,4492,4540,4541,4544,4551,4559,4665,4748,4838,4948,5011,5101
162,12,0,6100,0,0,0,A,Beverly Beach town,Florida,338,358,359,363,367,373,384,397,414,421,426,430
162,12,0,6600,0,0,0,A,Biscayne Park village,Florida,3055,3074,3084,3114,3138,3157,3152,3154,3147,3137,3103,3065
162,12,0,6925,0,0,0,A,Blountstown city,Florida,2514,2516,2519,2524,2513,2497,2467,2464,2452,2452,2467,2443
162,12,0,7300,0,0,0,A,Boca Raton city,Florida,84392,84409,85158,86460,87646,89689,91276,93498,96427,98236,99351,99805
162,12,0,7450,0,0,0,A,Bonifay city,Florida,2793,2773,2760,2754,2721,2701,2698,2662,2676,2670,2680,2704
162,12,0,7525,0,0,0,A,Bonita Springs city,Florida,43914,43930,44075,45039,46342,47664,49367,51850,54400,56175,57398,59637
162,12,0,7775,0,0,0,A,Bowling Green city,Florida,2930,2937,2936,2932,2903,2888,2881,2877,2882,2906,2911,2887
162,12,0,7875,0,0,0,A,Boynton Beach city,Florida,68217,68293,68411,68905,70049,71305,73155,74005,75877,77711,77949,78679
162,12,0,7950,0,0,0,A,Bradenton city,Florida,49546,49273,49310,49642,50207,51175,52253,53838,55048,56686,57601,59439
162,12,0,7975,0,0,0,A,Bradenton Beach city,Florida,1171,1168,1168,1173,1185,1201,1209,1230,1251,1269,1276,1279
162,12,0,8175,0,0,0,A,Branford town,Florida,712,705,705,709,708,707,706,705,712,718,726,732
162,12,0,8575,0,0,0,A,Briny Breezes town,Florida,601,523,524,528,534,540,545,553,562,568,572,578
162,12,0,8600,0,0,0,A,Bristol city,Florida,996,1015,1014,1011,993,998,992,998,986,983,987,980
162,12,0,8700,0,0,0,A,Bronson town,Florida,1113,1118,1118,1099,1097,1093,1098,1103,1109,1119,1128,1147
162,12,0,8725,0,0,0,A,Brooker town,Florida,338,336,335,332,332,328,326,327,328,334,334,336
162,12,0,8800,0,0,0,A,Brooksville city,Florida,7719,7724,7729,7732,7699,7728,7791,7878,8040,8154,8298,8564
162,12,0,9550,0,0,0,A,Bunnell city,Florida,2676,2476,2483,2518,2534,2556,2576,2615,2660,2682,2816,2943
162,12,0,9625,0,0,0,A,Bushnell city,Florida,2418,3004,3005,3008,3004,3019,3010,3026,3099,3144,3165,3183
162,12,0,9700,0,0,0,A,Callahan town,Florida,1123,1113,1121,1137,1146,1150,1160,1166,1255,1333,1356,1360
162,12,0,9725,0,0,0,A,Callaway city,Florida,14405,14318,14343,14352,14491,14681,14938,15119,15233,15215,15231,14060
162,12,0,9900,0,0,0,A,Campbellton town,Florida,230,230,230,228,224,224,225,224,224,223,222,221
162,12,0,10250,0,0,0,A,Cape Canaveral city,Florida,9912,9987,9988,9950,9987,10003,10051,10196,10333,10428,10459,10470
162,12,0,10275,0,0,0,A,Cape Coral city,Florida,154305,154309,154731,157330,160558,164336,168365,173572,178534,183701,189468,194495
162,12,0,10725,0,0,0,A,Carrabelle city,Florida,2778,2761,2748,2724,2811,2769,2787,2719,2726,2490,2500,2820
162,12,0,10975,0,0,0,A,Caryville town,Florida,411,412,407,402,279,276,272,277,278,280,283,291
162,12,0,11050,0,0,0,A,Casselberry city,Florida,26241,26032,26026,26137,26238,26375,26455,26836,27097,28352,28817,28757
162,12,0,11225,0,0,0,A,Cedar Key city,Florida,702,731,729,717,715,706,704,707,707,711,715,720
162,12,0,11325,0,0,0,A,Center Hill city,Florida,988,996,996,1042,1088,1152,1219,1276,1337,1375,1415,1460
162,12,0,11362,0,0,0,A,Century town,Florida,1698,1698,1699,1708,1726,1739,1757,1766,1791,1810,1824,1846
162,12,0,11800,0,0,0,A,Chattahoochee city,Florida,3652,3650,3621,3556,3175,3120,3117,3126,3109,3102,3065,3198
162,12,0,11925,0,0,0,A,Chiefland city,Florida,2245,2235,2232,2201,2190,2161,2147,2155,2159,2166,2173,2186
162,12,0,11975,0,0,0,A,Chipley city,Florida,3605,3596,3592,3579,3534,3500,3448,3484,3490,3499,3540,3608
162,12,0,12325,0,0,0,A,Cinco Bayou town,Florida,383,383,383,389,403,410,412,418,424,431,437,445
162,12,0,12875,0,0,0,A,Clearwater city,Florida,107685,109139,109052,109204,109538,110279,111167,112939,114175,115482,116324,116946
162,12,0,12925,0,0,0,A,Clermont city,Florida,28742,28823,28889,29162,29469,29848,30463,32149,33279,35170,36740,38654
162,12,0,13000,0,0,0,A,Clewiston city,Florida,7155,7158,7142,7144,7087,7125,7292,7432,7670,7834,7922,8020
162,12,0,13050,0,0,0,A,Cloud Lake town,Florida,135,135,135,136,136,137,141,143,142,146,146,144
162,12,0,13150,0,0,0,A,Cocoa city,Florida,17140,17167,17185,17152,17233,17254,17378,17644,18018,18541,18585,18603
162,12,0,13175,0,0,0,A,Cocoa Beach city,Florida,11231,11198,11198,11153,11190,11207,11267,11433,11576,11674,11705,11705
162,12,0,13275,0,0,0,A,Coconut Creek city,Florida,52909,53042,53183,54324,55131,56920,58502,59202,59815,61070,61205,61248
162,12,0,13400,0,0,0,A,Coleman city,Florida,703,703,710,741,776,817,817,822,840,855,881,911
162,12,0,14125,0,0,0,A,Cooper City city,Florida,28547,28537,28608,30017,32302,34002,34727,35118,35449,35707,35762,35800
162,12,0,14250,0,0,0,A,Coral Gables city,Florida,46780,46746,46963,47613,49049,49762,50176,50275,50396,50628,50125,49700
162,12,0,14400,0,0,0,A,Coral Springs city,Florida,121096,122588,122887,125141,126682,127788,128847,130160,131753,133542,133712,133759
162,12,0,14850,0,0,0,A,Cottondale town,Florida,933,932,931,924,910,910,905,904,901,902,901,895
162,12,0,15375,0,0,0,A,Crescent City city,Florida,1577,1567,1564,1550,1534,1520,1510,1504,1510,1524,1530,1535
162,12,0,15475,0,0,0,A,Crestview city,Florida,20978,21065,21100,21496,22387,22718,22859,23202,23523,23968,24604,25274
162,12,0,15575,0,0,0,A,Cross City town,Florida,1728,1730,1727,1726,1695,1687,1678,1690,1689,1700,1702,1713
162,12,0,15775,0,0,0,A,Crystal River city,Florida,3108,3103,3098,3063,3045,3031,3021,3046,3088,3127,3169,3186
162,12,0,15968,0,0,0,A,Cutler Bay town,Florida,40286,40289,40473,41328,41993,43173,43894,44370,44447,44465,44115,43718
162,12,0,16125,0,0,0,A,Dade City city,Florida,6437,6449,6453,6458,6479,6518,6672,6847,6987,7135,7232,7338
162,12,0,16335,0,0,0,A,Dania Beach city,Florida,29639,29738,29808,30342,30749,31023,31271,31593,31861,32120,32198,32271
162,12,0,16450,0,0,0,A,Davenport city,Florida,2888,2913,2918,2973,3007,3044,3249,3551,4000,4543,5353,6005
162,12,0,16475,0,0,0,A,Davie town,Florida,91992,91950,92315,94455,95776,97599,99179,101229,103255,105136,106131,106306
162,12,0,16525,0,0,0,A,Daytona Beach city,Florida,61005,61591,61626,61720,62199,62957,63560,64962,67076,68096,68709,69186
162,12,0,16550,0,0,0,A,Daytona Beach Shores city,Florida,4247,4255,4252,4242,4247,4264,4293,4356,4428,4478,4532,4614
