SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
40,13,0,0,0,0,0,A,Georgia,Georgia,9687653,9688729,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423
162,13,0,184,0,0,0,A,Abbeville city,Georgia,2908,2905,2982,2951,2932,2933,2862,2929,2767,2783,2800,2684
162,13,0,408,0,0,0,A,Acworth city,Georgia,20425,20491,20553,20774,21251,21517,21851,22104,22495,22637,22633,22818
162,13,0,436,0,0,0,A,Adairsville city,Georgia,4648,4659,4657,4665,4670,4703,4719,4745,4792,4859,4924,4963
162,13,0,576,0,0,0,A,Adel city,Georgia,5334,5340,5333,5294,5236,5260,5323,5246,5284,5305,5283,5336
162,13,0,660,0,0,0,A,Adrian city,Georgia,664,665,666,663,669,668,663,656,650,646,673,668
162,13,0,828,0,0,0,A,Ailey city,Georgia,432,550,553,548,551,543,540,536,538,536,537,536
162,13,0,996,0,0,0,A,Alamo town,Georgia,2797,2801,3137,3478,3380,3384,3399,3331,3397,3372,3326,3317
162,13,0,1024,0,0,0,A,Alapaha town,Georgia,668,668,670,670,659,660,653,658,660,664,670,675
162,13,0,1052,0,0,0,A,Albany city,Georgia,77434,77436,77420,77893,77537,76416,75940,74891,73957,73252,73219,72130
162,13,0,1248,0,0,0,A,Aldora town,Georgia,103,103,103,102,102,102,103,103,104,105,109,109
162,13,0,1472,0,0,0,A,Allenhurst city,Georgia,695,742,730,759,760,740,751,716,714,713,709,716
162,13,0,1500,0,0,0,A,Allentown city,Georgia,169,171,170,168,167,164,164,159,158,157,157,154
162,13,0,1612,0,0,0,A,Alma city,Georgia,3466,3472,3469,3502,3481,3469,3451,3471,3473,3440,3405,3380
162,13,0,1696,0,0,0,A,Alpharetta city,Georgia,57551,57383,57691,59141,61577,61937,62693,63337,65411,65734,66257,67213
162,13,0,1808,0,0,0,A,Alston town,Georgia,159,161,161,159,158,158,157,156,156,156,157,159
162,13,0,1948,0,0,0,A,Alto town,Georgia,1172,1184,1184,1175,1171,1175,1177,1177,1179,1189,1196,1198
162,13,0,2060,0,0,0,A,Ambrose city,Georgia,380,375,375,372,374,377,374,377,375,377,377,379
162,13,0,2116,0,0,0,A,Americus city,Georgia,17041,17116,17019,16659,16374,16215,16155,15859,15703,15431,15356,15108
162,13,0,2256,0,0,0,A,Andersonville city,Georgia,255,243,243,239,235,234,231,228,226,224,224,221
162,13,0,2564,0,0,0,A,Arabi town,Georgia,586,586,586,594,589,584,576,571,570,568,568,564
162,13,0,2592,0,0,0,A,Aragon city,Georgia,1249,1267,1268,1257,1249,1248,1239,1245,1243,1244,1287,1336
162,13,0,2648,0,0,0,A,Arcade city,Georgia,1786,1800,1806,1809,1801,1810,1823,1846,1868,1894,1930,1972
162,13,0,2844,0,0,0,A,Argyle town,Georgia,212,212,211,209,209,212,213,213,211,209,208,208
162,13,0,2928,0,0,0,A,Arlington city,Georgia,1479,1476,1475,1453,1438,1434,1412,1417,1385,1378,1364,1326
162,13,0,3124,0,0,0,A,Arnoldsville city,Georgia,357,356,356,352,348,346,347,353,353,357,362,366
162,13,0,3236,0,0,0,A,Ashburn city,Georgia,4152,4152,4136,4135,3914,3805,3733,3688,3672,3671,3671,3704
162,13,0,3440,0,0,0,F,Athens-Clarke County unified government (balance),Georgia,115452,115387,116102,116928,118584,119566,119059,122213,123523,125409,125857,126913
162,13,0,4000,0,0,0,A,Atlanta city,Georgia,420003,427059,429410,437812,449016,453990,461154,468303,479174,491670,498183,506811
162,13,0,4084,0,0,0,A,Attapulgus city,Georgia,449,449,448,446,442,442,437,434,431,430,429,425
